Login, ログイン
Logout, ログアウト
Email, Eメール
Password, パスワード
Forgot your password?, パスワードを忘れましたか？
Create an account, アカウントを作成
Register, 登録
Full Name, 氏名
Full name, 氏名
Sign In, サインイン
Order History, 注文履歴
Account Details, アカウント詳細
You have not placed any orders yet, まだ注文していません
My Account, マイアカウント
Already have an account?, 既にアカウントをお持ちですか？
Contact information, 連絡先情報
City, 市区町村
Account Information, アカウント情報
Address, 住所
Postcode, 郵便番号
Postcode is required, 郵便番号は必須です
Telephone is required, 電話番号は必須です
Telephone, 電話番号
Full name is required, 氏名は必須です
Country is required, 国は必須です
Country, 国
Province is required, 都道府県は必須です
Province, 都道府県
Billing Address, 請求先住所
Shipping Address, お届け先住所
Create A New Account, アカウントを作成
Contact, 連絡先
Customer information, 顧客情報
